candidato,hash,status,caminho,tipo_area,destino_identificado
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/06-risk-control/regenera-control-accounting/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/06-risk-control/regenera-control-reconciliation/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/06-risk-control/regenera-control-aml/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/04-bffs/regenera-bff-operations/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/04-bffs/regenera-bff-web/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/04-bffs/regenera-api-partners/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/04-bffs/regenera-bff-mobile/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,Auditoria 2/ARQUIVOS USAR E LISTA/regenera-bank 3/01-design-system/regenera-design-windows/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,04-bffs/regenera-bff-operations/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,04-bffs/regenera-bff-web/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,04-bffs/regenera-bff-mobile/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/03-channels/regenera-channel-partner-portal/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/03-channels/regenera-channel-web-banking/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/05-core-banking/regenera-core-ledger/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/05-core-banking/regenera-core-credit/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
