module,files_total,custom_files,custom_nonzero,custom_zero,custom_over_500,custom_bytes,maturity
06-risk-control/regenera-control-case-management,46,0,0,0,0,0,SCAFFOLD PURO
06-risk-control/regenera-control-cosif,46,0,0,0,0,0,SCAFFOLD PURO
06-risk-control/regenera-control-fraud,18,14,2,12,0,697,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
06-risk-control/regenera-control-reconciliation,72,26,4,12,2,7708,IMPLEMENTAÇÃO PARCIAL
06-risk-control/regenera-control-regulatory-reporting,46,0,0,0,0,0,SCAFFOLD PURO
06-risk-control/regenera-risk-aml,58,12,5,0,0,767,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
06-risk-control/regenera-risk-credit,46,0,0,0,0,0,SCAFFOLD PURO
06-risk-control/regenera-risk-fraud,54,8,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
06-risk-control/regenera-risk-kyc,49,3,3,0,2,17769,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
06-risk-control/regenera-risk-sanctions,46,0,0,0,0,0,SCAFFOLD PURO
07-integrations/regenera-integration-b3,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-bacen,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-bureaus,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-card-networks,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-card-processor,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-correspondents,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-custody,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-dict,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-kyc-providers,63,17,2,0,0,382,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-notifications,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-open-finance,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-spi,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-susep,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
07-integrations/regenera-integration-swift,62,16,1,0,0,131,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
08-iso20022/regenera-iso20022-adapters,49,3,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
08-iso20022/regenera-iso20022-mappings,49,3,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
08-iso20022/regenera-iso20022-messages,50,4,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
08-iso20022/regenera-iso20022-schemas,54,8,1,0,0,130,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
08-iso20022/regenera-iso20022-tests,51,5,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
08-iso20022/regenera-iso20022-validation,50,4,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
