id,caminho,tipo,prioridade,tamanho
3061,05-core-banking/regenera-core-customer-support/CODEOWNERS,C,P0,29
3096,05-core-banking/regenera-core-customers/.tool-versions,C,P0,7
3098,05-core-banking/regenera-core-customers/CODEOWNERS,C,P0,22
3172,05-core-banking/regenera-core-device-trust/.tool-versions,C,P3,7
3174,05-core-banking/regenera-core-device-trust/CODEOWNERS,C,P1,25
3209,05-core-banking/regenera-core-disputes/.tool-versions,C,P3,7
3211,05-core-banking/regenera-core-disputes/CODEOWNERS,C,P1,21
3246,05-core-banking/regenera-core-documents/.tool-versions,C,P3,7
3248,05-core-banking/regenera-core-documents/CODEOWNERS,C,P1,22
3283,05-core-banking/regenera-core-fees/.tool-versions,C,P3,7
3285,05-core-banking/regenera-core-fees/CODEOWNERS,C,P1,17
3333,06-risk-control/regenera-risk-fraud/.tool-versions,C,P1,7
3335,06-risk-control/regenera-risk-fraud/CODEOWNERS,C,P1,18
3388,05-core-banking/regenera-core-fx/.tool-versions,C,P3,7
3390,05-core-banking/regenera-core-fx/CODEOWNERS,C,P1,15
3425,05-core-banking/regenera-core-identity/.tool-versions,C,P0,7
3427,05-core-banking/regenera-core-identity/CODEOWNERS,C,P0,21
3461,06-risk-control/regenera-risk-kyc/.tool-versions,C,P1,7
3463,06-risk-control/regenera-risk-kyc/CODEOWNERS,C,P1,16
3548,05-core-banking/regenera-core-investment-orders/.tool-versions,C,P3,7
3550,05-core-banking/regenera-core-investment-orders/CODEOWNERS,C,P1,30
3613,05-core-banking/regenera-core-invoices/.tool-versions,C,P3,7
3615,05-core-banking/regenera-core-invoices/CODEOWNERS,C,P1,21
3650,05-core-banking/regenera-core-ledger/.tool-versions,C,P0,7
3652,05-core-banking/regenera-core-ledger/CODEOWNERS,C,P0,19
3761,05-core-banking/regenera-core-limits/.tool-versions,C,P3,7
3763,05-core-banking/regenera-core-limits/CODEOWNERS,C,P1,19
3811,05-core-banking/regenera-core-loan-servicing/.tool-versions,C,P3,7
3813,05-core-banking/regenera-core-loan-servicing/CODEOWNERS,C,P1,27
3848,05-core-banking/regenera-core-notifications/.tool-versions,C,P3,7
3850,05-core-banking/regenera-core-notifications/CODEOWNERS,C,P1,26
3903,05-core-banking/regenera-core-onboarding/.tool-versions,C,P3,7
3905,05-core-banking/regenera-core-onboarding/CODEOWNERS,C,P1,23
3940,05-core-banking/regenera-core-payment-orchestrator/.tool-versions,C,P0,7
4012,05-core-banking/regenera-core-pix/.tool-versions,C,P0,7
4014,05-core-banking/regenera-core-pix/CODEOWNERS,C,P0,16
4088,05-core-banking/regenera-core-product-catalog/.tool-versions,C,P3,7
4090,05-core-banking/regenera-core-product-catalog/CODEOWNERS,C,P1,28
4125,06-risk-control/regenera-control-reconciliation/.tool-versions,C,P0,7
4127,06-risk-control/regenera-control-reconciliation/CODEOWNERS,C,P0,27
4183,06-risk-control/regenera-control-regulatory-reporting/.tool-versions,C,P3,7
4220,06-risk-control/regenera-risk-sanctions/.tool-versions,C,P3,7
4222,06-risk-control/regenera-risk-sanctions/CODEOWNERS,C,P1,22
4257,05-core-banking/regenera-core-session/.tool-versions,C,P3,7
4259,05-core-banking/regenera-core-session/CODEOWNERS,C,P1,20
4295,05-core-banking/regenera-core-statements/.tool-versions,C,P3,7
4297,05-core-banking/regenera-core-statements/CODEOWNERS,C,P1,23
4332,05-core-banking/regenera-core-transactions/.tool-versions,C,P0,7
4334,05-core-banking/regenera-core-transactions/CODEOWNERS,C,P0,25
5036,00-governance/regenera-engineering-governance/.tool-versions,C,P3,14
5079,00-governance/regenera-enterprise-architecture/.tool-versions,C,P3,14
5081,00-governance/regenera-enterprise-architecture/CODEOWNERS,C,P1,25
5135,00-governance/regenera-product-governance/.tool-versions,C,P3,14
5137,00-governance/regenera-product-governance/CODEOWNERS,C,P1,31
5472,12-regulatory/regenera-regulatory-aml/.tool-versions,C,P1,14
5474,12-regulatory/regenera-regulatory-aml/CODEOWNERS,C,P1,27
5510,12-regulatory/regenera-regulatory-card-pci/.tool-versions,C,P3,14
5512,12-regulatory/regenera-regulatory-card-pci/CODEOWNERS,C,P1,32
5548,12-regulatory/regenera-regulatory-cloud-outsourcing/.tool-versions,C,P3,14
5586,12-regulatory/regenera-regulatory-cosif/.tool-versions,C,P3,14
5588,12-regulatory/regenera-regulatory-cosif/CODEOWNERS,C,P1,29
5624,12-regulatory/regenera-regulatory-cvm/.tool-versions,C,P3,14
5626,12-regulatory/regenera-regulatory-cvm/CODEOWNERS,C,P1,27
5662,12-regulatory/regenera-regulatory-cybersecurity/.tool-versions,C,P0,14
5700,12-regulatory/regenera-regulatory-lgpd/.tool-versions,C,P3,14
5702,12-regulatory/regenera-regulatory-lgpd/CODEOWNERS,C,P1,28
5740,12-regulatory/regenera-regulatory-open-finance/.tool-versions,C,P3,14
5778,12-regulatory/regenera-regulatory-pix/.tool-versions,C,P0,14
5780,12-regulatory/regenera-regulatory-pix/CODEOWNERS,C,P0,27
5816,12-regulatory/regenera-regulatory-reporting/.tool-versions,C,P3,14
5854,12-regulatory/regenera-regulatory-sisbacen/.tool-versions,C,P3,14
5856,12-regulatory/regenera-regulatory-sisbacen/CODEOWNERS,C,P1,32
5892,12-regulatory/regenera-regulatory-sisorf/.tool-versions,C,P3,14
5894,12-regulatory/regenera-regulatory-sisorf/CODEOWNERS,C,P1,30
5930,12-regulatory/regenera-regulatory-susep/.tool-versions,C,P3,14
5932,12-regulatory/regenera-regulatory-susep/CODEOWNERS,C,P1,29
5968,12-regulatory/regenera-regulatory-unicad/.tool-versions,C,P3,14
5970,12-regulatory/regenera-regulatory-unicad/CODEOWNERS,C,P1,30
6021,14-operations/regenera-operations-accounting/.tool-versions,C,P0,14
6058,14-operations/regenera-operations-aml/.tool-versions,C,P1,14
6060,14-operations/regenera-operations-aml/CODEOWNERS,C,P1,27
6095,14-operations/regenera-operations-business-continuity/.tool-versions,C,P3,14
6132,14-operations/regenera-operations-cards/.tool-versions,C,P2,14
6134,14-operations/regenera-operations-cards/CODEOWNERS,C,P2,29
6169,14-operations/regenera-operations-change-management/.tool-versions,C,P2,14
6206,14-operations/regenera-operations-customer-support/.tool-versions,C,P0,14
6243,14-operations/regenera-operations-fraud/.tool-versions,C,P1,14
6245,14-operations/regenera-operations-fraud/CODEOWNERS,C,P1,29
6280,14-operations/regenera-operations-incident-management/.tool-versions,C,P2,14
6317,14-operations/regenera-operations-noc/.tool-versions,C,P2,14
6319,14-operations/regenera-operations-noc/CODEOWNERS,C,P2,27
6354,14-operations/regenera-operations-payment/.tool-versions,C,P0,14
6356,14-operations/regenera-operations-payment/CODEOWNERS,C,P0,31
6391,14-operations/regenera-operations-pix/.tool-versions,C,P0,14
6393,14-operations/regenera-operations-pix/CODEOWNERS,C,P0,27
6428,14-operations/regenera-operations-reconciliation/.tool-versions,C,P0,14
6465,14-operations/regenera-operations-soc/.tool-versions,C,P2,14
6467,14-operations/regenera-operations-soc/CODEOWNERS,C,P2,27
6502,14-operations/regenera-operations-treasury/.tool-versions,C,P2,14
6504,14-operations/regenera-operations-treasury/CODEOWNERS,C,P2,32
6539,10-platform/regenera-platform-backups/.tool-versions,C,P2,14
6541,10-platform/regenera-platform-backups/CODEOWNERS,C,P2,29
6576,10-platform/regenera-platform-cache/.tool-versions,C,P3,14
6578,10-platform/regenera-platform-cache/CODEOWNERS,C,P1,27
6616,10-platform/regenera-platform-ci-cd/.tool-versions,C,P3,14
6618,10-platform/regenera-platform-ci-cd/CODEOWNERS,C,P1,27
6658,09-data-platform/regenera-data-analytics/.tool-versions,C,P3,14
6660,09-data-platform/regenera-data-analytics/CODEOWNERS,C,P1,27
6695,09-data-platform/regenera-data-finance-reporting/.tool-versions,C,P3,14
6732,09-data-platform/regenera-data-governance/.tool-versions,C,P3,14
6734,09-data-platform/regenera-data-governance/CODEOWNERS,C,P1,28
6769,09-data-platform/regenera-data-ingestion/.tool-versions,C,P3,14
6771,09-data-platform/regenera-data-ingestion/CODEOWNERS,C,P1,27
6806,09-data-platform/regenera-data-lake/.tool-versions,C,P3,14
6808,09-data-platform/regenera-data-lake/CODEOWNERS,C,P1,22
6843,09-data-platform/regenera-data-lineage/.tool-versions,C,P3,14
6845,09-data-platform/regenera-data-lineage/CODEOWNERS,C,P1,25
6880,09-data-platform/regenera-data-privacy/.tool-versions,C,P3,14
6882,09-data-platform/regenera-data-privacy/CODEOWNERS,C,P1,25
6917,09-data-platform/regenera-data-quality/.tool-versions,C,P2,14
6919,09-data-platform/regenera-data-quality/CODEOWNERS,C,P2,25
6954,09-data-platform/regenera-data-risk-models/.tool-versions,C,P3,14
6956,09-data-platform/regenera-data-risk-models/CODEOWNERS,C,P1,29
6991,09-data-platform/regenera-data-streaming/.tool-versions,C,P3,14
6993,09-data-platform/regenera-data-streaming/CODEOWNERS,C,P1,27
7028,09-data-platform/regenera-data-warehouse/.tool-versions,C,P3,14
7030,09-data-platform/regenera-data-warehouse/CODEOWNERS,C,P1,27
7065,10-platform/regenera-platform-databases/.tool-versions,C,P3,14
7067,10-platform/regenera-platform-databases/CODEOWNERS,C,P1,31
7113,10-platform/regenera-platform-developer-portal/.tool-versions,C,P3,14
7150,10-platform/regenera-platform-disaster-recovery/.tool-versions,C,P2,14
7187,10-platform/regenera-platform-event-bus/.tool-versions,C,P3,14
7189,10-platform/regenera-platform-event-bus/CODEOWNERS,C,P1,31
7234,07-integrations/regenera-integration-b3/.tool-versions,C,P3,7
7236,07-integrations/regenera-integration-b3/CODEOWNERS,C,P1,27
7272,07-integrations/regenera-integration-bacen/.tool-versions,C,P3,7
