id,caminho,tipo,prioridade,tamanho
5662,12-regulatory/regenera-regulatory-cybersecurity/.tool-versions,C,P0,14
5700,12-regulatory/regenera-regulatory-lgpd/.tool-versions,C,P3,14
5740,12-regulatory/regenera-regulatory-open-finance/.tool-versions,C,P3,14
5778,12-regulatory/regenera-regulatory-pix/.tool-versions,C,P0,14
5816,12-regulatory/regenera-regulatory-reporting/.tool-versions,C,P3,14
5854,12-regulatory/regenera-regulatory-sisbacen/.tool-versions,C,P3,14
5892,12-regulatory/regenera-regulatory-sisorf/.tool-versions,C,P3,14
5930,12-regulatory/regenera-regulatory-susep/.tool-versions,C,P3,14
5968,12-regulatory/regenera-regulatory-unicad/.tool-versions,C,P3,14
6021,14-operations/regenera-operations-accounting/.tool-versions,C,P0,14
6058,14-operations/regenera-operations-aml/.tool-versions,C,P1,14
6095,14-operations/regenera-operations-business-continuity/.tool-versions,C,P3,14
6132,14-operations/regenera-operations-cards/.tool-versions,C,P2,14
6169,14-operations/regenera-operations-change-management/.tool-versions,C,P2,14
6206,14-operations/regenera-operations-customer-support/.tool-versions,C,P0,14
6243,14-operations/regenera-operations-fraud/.tool-versions,C,P1,14
6280,14-operations/regenera-operations-incident-management/.tool-versions,C,P2,14
6317,14-operations/regenera-operations-noc/.tool-versions,C,P2,14
6354,14-operations/regenera-operations-payment/.tool-versions,C,P0,14
6391,14-operations/regenera-operations-pix/.tool-versions,C,P0,14
6428,14-operations/regenera-operations-reconciliation/.tool-versions,C,P0,14
6465,14-operations/regenera-operations-soc/.tool-versions,C,P2,14
6502,14-operations/regenera-operations-treasury/.tool-versions,C,P2,14
6539,10-platform/regenera-platform-backups/.tool-versions,C,P2,14
6576,10-platform/regenera-platform-cache/.tool-versions,C,P3,14
6616,10-platform/regenera-platform-ci-cd/.tool-versions,C,P3,14
6658,09-data-platform/regenera-data-analytics/.tool-versions,C,P3,14
6695,09-data-platform/regenera-data-finance-reporting/.tool-versions,C,P3,14
6732,09-data-platform/regenera-data-governance/.tool-versions,C,P3,14
6769,09-data-platform/regenera-data-ingestion/.tool-versions,C,P3,14
6806,09-data-platform/regenera-data-lake/.tool-versions,C,P3,14
6843,09-data-platform/regenera-data-lineage/.tool-versions,C,P3,14
6880,09-data-platform/regenera-data-privacy/.tool-versions,C,P3,14
6917,09-data-platform/regenera-data-quality/.tool-versions,C,P2,14
6954,09-data-platform/regenera-data-risk-models/.tool-versions,C,P3,14
6991,09-data-platform/regenera-data-streaming/.tool-versions,C,P3,14
7028,09-data-platform/regenera-data-warehouse/.tool-versions,C,P3,14
7065,10-platform/regenera-platform-databases/.tool-versions,C,P3,14
7113,10-platform/regenera-platform-developer-portal/.tool-versions,C,P3,14
7150,10-platform/regenera-platform-disaster-recovery/.tool-versions,C,P2,14
7187,10-platform/regenera-platform-event-bus/.tool-versions,C,P3,14
7234,07-integrations/regenera-integration-b3/.tool-versions,C,P3,7
7272,07-integrations/regenera-integration-bacen/.tool-versions,C,P3,7
7310,07-integrations/regenera-integration-bureaus/.tool-versions,C,P3,7
7348,07-integrations/regenera-integration-card-networks/.tool-versions,C,P3,7
7386,07-integrations/regenera-integration-card-processor/.tool-versions,C,P3,7
7424,07-integrations/regenera-integration-correspondents/.tool-versions,C,P3,7
7462,07-integrations/regenera-integration-custody/.tool-versions,C,P3,7
7500,07-integrations/regenera-integration-dict/.tool-versions,C,P3,7
7538,07-integrations/regenera-integration-kyc-providers/.tool-versions,C,P1,7
7577,07-integrations/regenera-integration-notifications/.tool-versions,C,P3,7
7615,07-integrations/regenera-integration-open-finance/.tool-versions,C,P3,7
7656,07-integrations/regenera-integration-spi/.tool-versions,C,P3,7
7694,07-integrations/regenera-integration-susep/.tool-versions,C,P3,7
7732,07-integrations/regenera-integration-swift/.tool-versions,C,P3,7
7770,10-platform/regenera-platform-kms-hsm/.tool-versions,C,P3,14
7807,10-platform/regenera-platform-kubernetes/.tool-versions,B,P2,14
7856,10-platform/regenera-platform-object-storage/.tool-versions,C,P3,14
7893,10-platform/regenera-platform-observability/.tool-versions,C,P1,14
7942,10-platform/regenera-platform-secrets/.tool-versions,C,P3,14
7979,11-security/regenera-security-appsec/.tool-versions,C,P0,14
8016,11-security/regenera-security-cloud/.tool-versions,C,P0,14
8053,11-security/regenera-security-detection/.tool-versions,C,P0,14
8090,11-security/regenera-security-iam/.tool-versions,C,P0,14
8127,11-security/regenera-security-incident-response/.tool-versions,C,P0,14
8164,11-security/regenera-security-kms-hsm/.tool-versions,C,P0,14
8201,11-security/regenera-security-mobile/.tool-versions,C,P0,14
8238,11-security/regenera-security-pam/.tool-versions,C,P0,14
8275,11-security/regenera-security-pki/.tool-versions,C,P0,14
8312,11-security/regenera-security-red-team/.tool-versions,C,P0,14
8349,11-security/regenera-security-threat-intelligence/.tool-versions,C,P0,14
8386,11-security/regenera-security-vulnerability-management/.tool-versions,C,P0,14
8423,10-platform/regenera-platform-siem/.tool-versions,C,P3,14
8460,10-platform/regenera-platform-terraform/.tool-versions,B,P2,16
8520,15-tools/regenera-tool-comment-gate/.tool-versions,C,P3,14
8558,15-tools/regenera-tool-contract-linter/.tool-versions,B,P3,14
8596,15-tools/regenera-tool-developer-cli/.tool-versions,C,P3,14
8638,15-tools/regenera-tool-local-environment/.tool-versions,C,P3,14
8675,15-tools/regenera-tool-migration-validator/.tool-versions,C,P0,14
8715,15-tools/regenera-tool-release-manifest/.tool-versions,C,P3,14
8752,15-tools/regenera-tool-sbom/.tool-versions,C,P3,14
8789,15-tools/regenera-tool-schema-validator/.tool-versions,C,P3,14
8826,15-tools/regenera-tool-secret-scanner/.tool-versions,C,P3,14
8864,15-tools/regenera-tool-test-data/.tool-versions,C,P3,14
8901,13-quality/regenera-quality-chaos/.tool-versions,C,P2,14
8938,13-quality/regenera-quality-contract/.tool-versions,C,P2,14
8975,13-quality/regenera-quality-e2e/.tool-versions,C,P2,14
9012,13-quality/regenera-quality-financial-invariants/.tool-versions,C,P2,14
9066,13-quality/regenera-quality-integration/.tool-versions,C,P2,14
9114,13-quality/regenera-quality-performance/.tool-versions,C,P2,14
9152,13-quality/regenera-quality-regulatory/.tool-versions,C,P2,14
9189,13-quality/regenera-quality-resilience/.tool-versions,C,P2,14
9226,13-quality/regenera-quality-security/.tool-versions,C,P0,14
9264,13-quality/regenera-quality-test-data/.tool-versions,C,P2,14
9301,13-quality/regenera-quality-unit/.tool-versions,C,P2,14
9327,renovate.json,B,P1,4
