seq	gate	cwd	exit_code	log_path	timestamp	runtime
23	audit-npm-web-bff	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/bff/web-bff	0	artifacts/verification/full-ci/run1/security/22-022-audit-npm-web-bff.log	2026-06-30T21:52:02Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
24	sbom-web-bff	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/bff/web-bff	0	artifacts/verification/full-ci/run1/security/23-023-sbom-web-bff.log	2026-06-30T21:52:02Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
25	audit-npm-outbox-relay	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/workers/outbox-relay	0	artifacts/verification/full-ci/run1/security/24-024-audit-npm-outbox-relay.log	2026-06-30T21:52:04Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
26	sbom-outbox-relay	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/workers/outbox-relay	0	artifacts/verification/full-ci/run1/security/25-025-sbom-outbox-relay.log	2026-06-30T21:52:05Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
27	audit-npm-web-banking	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/apps/web-banking	0	artifacts/verification/full-ci/run1/security/26-026-audit-npm-web-banking.log	2026-06-30T21:52:06Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
28	sbom-web-banking	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/apps/web-banking	0	artifacts/verification/full-ci/run1/security/27-027-sbom-web-banking.log	2026-06-30T21:52:07Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
29	lint-core-bank	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/domains/core-bank	0	artifacts/verification/full-ci/run1/lint/28-028-lint-core-bank.log	2026-06-30T21:52:08Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
30	lint-web-bff	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/bff/web-bff	0	artifacts/verification/full-ci/run1/lint/29-029-lint-web-bff.log	2026-06-30T21:52:09Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
31	lint-web-banking	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/apps/web-banking	0	artifacts/verification/full-ci/run1/lint/30-030-lint-web-banking.log	2026-06-30T21:52:10Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
32	typecheck-core-bank	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/domains/core-bank	0	artifacts/verification/full-ci/run1/typecheck/31-031-typecheck-core-bank.log	2026-06-30T21:52:11Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
