conflict_id,pacote_origem,arquivo_origem,sha256,tamanho
611,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-partner-portal/README.md,57cd00622a1d4d28b3334a84fa8aa55a30b8a87ad72dcbf35be9113193d38d22,530
611,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-partner-portal/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
667,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-web-banking/.env.example,29af5118a356d86a749b4631cf5206cc2966bcd3b7f5ff4f2e60ec43503d5e30,84
667,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/03-enterprise-web-platform/.env.example,a7994d607e6c952e7f0e8c780a21639268dddcf76924023fbdee1f7d6f4340d2,486
667,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/.env.example,5ab5e71007321acc507f8f74d84a61e81c4cf580752d16037ebcb8d0415c4718,427
667,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/.env.example,8ef88897bb1bbb7fe3db5d057d078f9cd2b93ca85c6aa86d97aef6327091526d,25
668,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/03-enterprise-web-platform/.eslintrc.cjs,44e27e84591e181fe3480d08af6ef2690e8e9f32639db9dc00b5c26085c4f565,471
668,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/.eslintrc.cjs,8ef88897bb1bbb7fe3db5d057d078f9cd2b93ca85c6aa86d97aef6327091526d,25
677,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-web-banking/.gitignore,ac3dd62c3973e4891c66ee3aa10c57d6a958041ce5ac009b6a085ced2c26920c,159
677,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/03-enterprise-web-platform/.gitignore,6fe16e5e5dad9408c6a9082604c816d8067641ae1b5e59aceb90eb51c1088c63,14
677,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/.gitignore,6e450739a80d6d61792545f0c2206d542c4063d4a5ac6673b6263703c42f5c6e,63
677,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/.gitignore,ac3dd62c3973e4891c66ee3aa10c57d6a958041ce5ac009b6a085ced2c26920c,159
687,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-web-banking/Dockerfile,2e10e920f8a25ba0ffc0f49d923b7f42332a503374d421bbc5df1a6ea5036cd0,139
687,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
691,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-web-banking/README.md,2fa5a6fd84b2f0b5425f05098dd280570837f86b4116c9c230e0ffed5dbbcff8,517
691,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/README.md,d9cd48043661c7365705d3e95f3e54e279c1cd2aafed1047ebe6f273cb8cff60,724
691,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
701,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-web-banking/docs/ARCHITECTURE.md,70eaaa765e34f4528b22c583b0a6a7ceda1fc79feb18f0efc24dc1e03faa8d7f,438
701,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/docs/ARCHITECTURE.md,23583aafb94af953e02576ea7e32bbc2d257aef37afcfa178e2a4383bc73b672,734
701,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/docs/ARCHITECTURE.md,70eaaa765e34f4528b22c583b0a6a7ceda1fc79feb18f0efc24dc1e03faa8d7f,438
708,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-web-banking/docs/RUNBOOK.md,4bdd2ee70bf56fbbb7a784623bd23ce68e60b30cff1a2e994591c7f4b4340d95,434
708,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/docs/RUNBOOK.md,d1426f7e59b3e63175f2de77bff350dd5b2ad85f7ce4fd95a0679d9bb2bebede,623
708,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/docs/RUNBOOK.md,4bdd2ee70bf56fbbb7a784623bd23ce68e60b30cff1a2e994591c7f4b4340d95,434
765,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/next.config.mjs,a0d754f79f955ad9768300246c086c5805a70c6b0ca5ddffa3915b820c0dce44,731
765,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/next.config.mjs,450f0af4f4c1ecc4c7180f2e364c8a59bfed69dd350fb6b47bce8641c2a37786,19
768,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/03-enterprise-web-platform/package-lock.json,6901b939b12e5c0a7017993d32bbb4075aad3dbfd000118ce85dae7ecc4b99cf,574662
768,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/package-lock.json,d1ca73f7bc0f452f444e843a6414595ce23da4d8b894b45a9d8bab0490f8c859,84142
769,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/03-enterprise-web-platform/package.json,4833d0895f451f40e60b7ef25b070db5eb5e2c53bfad484fd16dbb34a71e6541,2486
769,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/package.json,4c83b7e14c15654ec11951b032d69210b03e3984a490675d7cd228fd3e2f0228,609
769,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/package.json,a8b4807b7fb84cf0b9c92fc4746ff83845a0d5ab6113c7d8cc67e5c2ac0c1770,447
890,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/src/app/error.tsx,915cc913fc584aba92a6b46733f1602064c5132181cf7d86f7d946e8dd84985a,386
890,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/src/app/error.tsx,f3a2386722f30ea3291ba497c518a694fdfecb5e102981b107f369dab3ea6c2a,120
893,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/src/app/layout.tsx,d6916e11d788bc28ba035f15d26f4c4505c128962bb0ba8e7a52d9f582deeec0,260
893,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/src/app/layout.tsx,d1f57ce9f792d7444c16974dedf7a4dfa2bb3a1dd72061828f242b87e12cb142,123
897,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/src/app/page.tsx,96d9a4ed9fa990f2358d2fffa895b4e3fe0d2ca6d6670b3351307b455b96935b,100
897,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/src/app/page.tsx,a4466bd7cf254d85e514232ea5e5dfbaceafac53f939df0cb8d5d22a46994974,117
1130,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/03-enterprise-web-platform/tsconfig.json,53b9980efd2cfb3e787bd1d252a084d0f4e10f9b6ce2af030078e84dc80d96e7,1144
1130,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/tsconfig.json,a41471328dd208398ea583dbfc94673d34650a47bffb0f7b32c1f31e90a17a1a,748
1130,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-web-banking/tsconfig.json,686e7b42c5f557e903aaa2a7a4f61286191577294c93b076c4e5d1d6708fc410,222
1132,1. PRODUCAO REGENERA CORE 5(5).zip,1. PRODUCAO REGENERA CORE/03-enterprise-web-platform/vercel.json,b0bf3e07bd3149367e285fc70db5a80b64246c9b26571f0dc5a69849227d0449,199
1132,Arquivo(5).zip,2.Mapa-Mestre-Executado/01-Regenera-Web-Production/vercel.json,f625a99e3da8eed7f7fb19fb67eca8ebd7ceeed68e61be49c8014dfce4c6b358,151
1164,02-Regenera-Channels-BFFs(1).zip,03-channels/regenera-channel-windows-operations/README.md,279ba8fa36fcee3e54136d191c424d98b12d8b7193c8a096945f55270bd44118,492
1164,Arquivo(5).zip,2.Mapa-Mestre-Executado/04-Regenera-Windows-Operations-Production/README.md,279ba8fa36fcee3e54136d191c424d98b12d8b7193c8a096945f55270bd44118,492
1164,regenera-bank.zip,regenera-bank/03-channels/regenera-channel-windows-operations/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
1310,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-mobile/Dockerfile,9a2c27e06ad60c9bf22c0ce4771db331b67c66b28dd2d10b2de1b710f241ad47,130
1310,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-mobile/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
1314,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-mobile/README.md,b2a07d2cebdffcaffa14ea267b69717d31e453ea0f20e35ddee3111c9fb82e77,510
1314,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-mobile/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
1333,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-mobile/service.yaml,eb4f38c3b8d10954af0ef61f1466faada38aa77062f4d7933e701318586a9f5f,203
1333,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-mobile/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
1406,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-operations/Dockerfile,6a0e4da801526f2ccf7f805528a43eb9724c073e55a4350aa42542266fec0dd9,134
1406,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-operations/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
1410,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-operations/README.md,f439407f4dcb4ddfb629e1e8f2b9b10ea94ab237ca76b807cec26b1aaa01b408,526
1410,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-operations/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
1429,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-operations/service.yaml,e88d4acb73eea2762a9e29677237fb6b84da1d22f0b612e6554f4678f71c2745,223
1429,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-operations/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
1470,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-api-partners/Dockerfile,52bd2b39e4b5d154f5d1aba8cd748c451699f0f98d47dbc8e272e2a0ace98c43,348
1470,Arquivo(5).zip,2.Mapa-Mestre-Executado/05-Regenera-Partner-APIs-Production/Dockerfile,52bd2b39e4b5d154f5d1aba8cd748c451699f0f98d47dbc8e272e2a0ace98c43,348
1470,regenera-bank.zip,regenera-bank/04-bffs/regenera-api-partners/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
1474,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-api-partners/README.md,ee5c045e1bf83ea9226211d491dd8aafd498adac1977dfa17d76479b8530f1dc,490
1474,Arquivo(5).zip,2.Mapa-Mestre-Executado/05-Regenera-Partner-APIs-Production/README.md,ee5c045e1bf83ea9226211d491dd8aafd498adac1977dfa17d76479b8530f1dc,490
1474,regenera-bank.zip,regenera-bank/04-bffs/regenera-api-partners/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
1505,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-api-partners/service.yaml,49afc0a641d7fa7d893abe744bce49509eac40d98ac1c3deb3a036e87f533108,209
1505,regenera-bank.zip,regenera-bank/04-bffs/regenera-api-partners/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
1559,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-web/Dockerfile,2581cf97b11f7e61ae92698b29541134c27db4adf53586ba95a634964eae0b04,127
1559,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-web/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
1563,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-web/README.md,4226d9c125caea4d9804869eb3be71743cd89fcb7474bcfd383a5f5748269ed6,501
1563,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-web/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
1582,02-Regenera-Channels-BFFs(1).zip,04-bffs/regenera-bff-web/service.yaml,16cbcfb3b755e6c44000f21d0f7fa0aa0e5333ce6a7187d4af7ea3cc69b07625,191
1582,regenera-bank.zip,regenera-bank/04-bffs/regenera-bff-web/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
2386,03-Regenera-Core-Risk-Control(1).zip,06-risk-control/regenera-control-accounting/Dockerfile,989579c296898f745a224bba4514a9cc81ce2bc286362debc17050da6542e390,153
2386,regenera-bank.zip,regenera-bank/06-risk-control/regenera-control-accounting/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
2390,03-Regenera-Core-Risk-Control(1).zip,06-risk-control/regenera-control-accounting/README.md,7841bb116f0fb019235145bb249701847a6a5b3961191711c1cc1628838c6409,526
2390,regenera-bank.zip,regenera-bank/06-risk-control/regenera-control-accounting/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
2445,03-Regenera-Core-Risk-Control(1).zip,06-risk-control/regenera-control-accounting/service.yaml,0ff18b973cea3c8bf4b86572191595f270573624b480674d37b35811f59d86e3,218
2445,regenera-bank.zip,regenera-bank/06-risk-control/regenera-control-accounting/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
2474,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-accounts/Dockerfile,d624a3c6237adf9c55920bb04f488f93f16b89c088fd9f7cf05ffbebcfdfc43f,148
2474,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-accounts/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
2478,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-accounts/README.md,ae3fbb87893242a53970ca9770a5ff7f5aaa22df529991af5c5656c8a7485ff0,517
2478,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-accounts/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
2503,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-accounts/service.yaml,e20ca5217e52973a7fae3a2837afd5a9bfc1dfa0d14dc8e051db4d3b24a23655,207
2503,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-accounts/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
2757,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-cards/Dockerfile,3780830faf61f21849f0d8dc0d36a99b772bbf879bd0a360d4488a0e342b9715,145
2757,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-cards/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
