id,caminho,prioridade_anterior,prioridade_corrigida
3905,domains/onboarding/CODEOWNERS,P1,P2
3940,domains/payment-orchestrator/.tool-versions,P0,P3
4012,domains/pix/.tool-versions,P0,P3
4014,domains/pix/CODEOWNERS,P0,P3
4088,domains/product-catalog/.tool-versions,P3,P2
4090,domains/product-catalog/CODEOWNERS,P1,P2
4125,domains/reconciliation/.tool-versions,P0,P3
4127,domains/reconciliation/CODEOWNERS,P0,P3
4183,governance/regulatory-reporting/.tool-versions,P3,P2
4220,domains/sanctions/.tool-versions,P3,P2
4222,domains/sanctions/CODEOWNERS,P1,P2
4257,domains/session/.tool-versions,P3,P2
4259,domains/session/CODEOWNERS,P1,P2
4295,domains/statements/.tool-versions,P3,P2
4297,domains/statements/CODEOWNERS,P1,P2
4332,domains/transactions/.tool-versions,P0,P3
4334,domains/transactions/CODEOWNERS,P0,P3
5036,governance/policies/engineering/.tool-versions,P3,P2
5079,governance/architecture/.tool-versions,P3,P2
5081,governance/architecture/CODEOWNERS,P1,P2
5135,governance/product/.tool-versions,P3,P2
5137,governance/product/CODEOWNERS,P1,P2
5472,governance/regulatory/aml/.tool-versions,P1,P2
5474,governance/regulatory/aml/CODEOWNERS,P1,P2
5510,governance/regulatory/card-pci/.tool-versions,P3,P2
5512,governance/regulatory/card-pci/CODEOWNERS,P1,P2
5548,governance/regulatory/cloud-outsourcing/.tool-versions,P3,P2
5586,governance/regulatory/cosif/.tool-versions,P3,P2
5588,governance/regulatory/cosif/CODEOWNERS,P1,P2
5624,governance/regulatory/cvm/.tool-versions,P3,P2
5626,governance/regulatory/cvm/CODEOWNERS,P1,P2
5662,governance/regulatory/cybersecurity/.tool-versions,P0,P3
5700,governance/regulatory/lgpd/.tool-versions,P3,P2
5702,governance/regulatory/lgpd/CODEOWNERS,P1,P2
5740,governance/regulatory/open-finance/.tool-versions,P3,P2
5778,governance/regulatory/pix/.tool-versions,P0,P3
5780,governance/regulatory/pix/CODEOWNERS,P0,P3
5816,governance/regulatory/reporting/.tool-versions,P3,P2
5854,governance/regulatory/sisbacen/.tool-versions,P3,P2
5856,governance/regulatory/sisbacen/CODEOWNERS,P1,P2
5892,governance/regulatory/sisorf/.tool-versions,P3,P2
5894,governance/regulatory/sisorf/CODEOWNERS,P1,P2
5930,governance/regulatory/susep/.tool-versions,P3,P2
5932,governance/regulatory/susep/CODEOWNERS,P1,P2
5968,governance/regulatory/unicad/.tool-versions,P3,P2
5970,governance/regulatory/unicad/CODEOWNERS,P1,P2
6021,governance/runbooks/operations/accounting/.tool-versions,P0,P3
6058,governance/runbooks/operations/aml/.tool-versions,P1,P2
6060,governance/runbooks/operations/aml/CODEOWNERS,P1,P2
6095,governance/business-continuity/.tool-versions,P3,P2
6132,governance/runbooks/operations/cards/.tool-versions,P2,P2
6134,governance/runbooks/operations/cards/CODEOWNERS,P2,P2
6169,governance/runbooks/operations/change-management/.tool-versions,P2,P2
6206,governance/runbooks/operations/customer-support/.tool-versions,P0,P3
6243,governance/runbooks/operations/fraud/.tool-versions,P1,P2
6245,governance/runbooks/operations/fraud/CODEOWNERS,P1,P2
6280,governance/runbooks/operations/incident-management/.tool-versions,P2,P2
6317,governance/runbooks/operations/noc/.tool-versions,P2,P2
6319,governance/runbooks/operations/noc/CODEOWNERS,P2,P2
6354,governance/runbooks/operations/payment/.tool-versions,P0,P3
6356,governance/runbooks/operations/payment/CODEOWNERS,P0,P3
6391,governance/runbooks/operations/pix/.tool-versions,P0,P3
6393,governance/runbooks/operations/pix/CODEOWNERS,P0,P3
6428,governance/runbooks/operations/reconciliation/.tool-versions,P0,P3
6465,governance/runbooks/operations/soc/.tool-versions,P2,P2
6467,governance/runbooks/operations/soc/CODEOWNERS,P2,P2
6502,governance/runbooks/operations/treasury/.tool-versions,P2,P2
6504,governance/runbooks/operations/treasury/CODEOWNERS,P2,P2
6539,platform/backups/.tool-versions,P2,P2
6541,platform/backups/CODEOWNERS,P2,P2
6576,platform/cache/.tool-versions,P3,P2
6578,platform/cache/CODEOWNERS,P1,P2
6616,platform/ci-cd/.tool-versions,P3,P2
6618,platform/ci-cd/CODEOWNERS,P1,P2
6658,platform/data/analytics/.tool-versions,P3,P2
6660,platform/data/analytics/CODEOWNERS,P1,P2
6695,platform/data/finance-reporting/.tool-versions,P3,P2
6732,platform/data/governance/.tool-versions,P3,P2
6734,platform/data/governance/CODEOWNERS,P1,P2
6769,platform/data/ingestion/.tool-versions,P3,P2
6771,platform/data/ingestion/CODEOWNERS,P1,P2
6806,platform/data/lake/.tool-versions,P3,P2
6808,platform/data/lake/CODEOWNERS,P1,P2
6843,platform/data/lineage/.tool-versions,P3,P2
6845,platform/data/lineage/CODEOWNERS,P1,P2
6880,platform/data/privacy/.tool-versions,P3,P2
6882,platform/data/privacy/CODEOWNERS,P1,P2
6917,platform/data/quality/.tool-versions,P2,P2
6919,platform/data/quality/CODEOWNERS,P2,P2
6954,platform/data/risk-models/.tool-versions,P3,P2
6956,platform/data/risk-models/CODEOWNERS,P1,P2
6991,platform/data/streaming/.tool-versions,P3,P2
6993,platform/data/streaming/CODEOWNERS,P1,P2
7028,platform/data/warehouse/.tool-versions,P3,P2
7030,platform/data/warehouse/CODEOWNERS,P1,P2
7065,platform/databases/.tool-versions,P3,P2
7067,platform/databases/CODEOWNERS,P1,P2
7113,platform/developer-portal/.tool-versions,P3,P2
7150,platform/disaster-recovery/.tool-versions,P2,P2
7187,platform/event-bus/.tool-versions,P3,P2
7189,platform/event-bus/CODEOWNERS,P1,P2
7234,platform/integrations/b3/.tool-versions,P3,P2
7236,platform/integrations/b3/CODEOWNERS,P1,P2
7272,platform/integrations/bacen/.tool-versions,P3,P2
7274,platform/integrations/bacen/CODEOWNERS,P1,P2
7310,platform/integrations/bureaus/.tool-versions,P3,P2
7312,platform/integrations/bureaus/CODEOWNERS,P1,P2
7348,platform/integrations/card-networks/.tool-versions,P3,P2
7386,platform/integrations/card-processor/.tool-versions,P3,P2
7424,platform/integrations/correspondents/.tool-versions,P3,P2
7462,platform/integrations/custody/.tool-versions,P3,P2
7464,platform/integrations/custody/CODEOWNERS,P1,P2
7500,platform/integrations/dict/.tool-versions,P3,P2
7502,platform/integrations/dict/CODEOWNERS,P1,P2
7538,platform/integrations/kyc-providers/.tool-versions,P1,P2
7577,platform/integrations/notifications/.tool-versions,P3,P2
7615,platform/integrations/open-finance/.tool-versions,P3,P2
7656,platform/integrations/spi/.tool-versions,P3,P2
7658,platform/integrations/spi/CODEOWNERS,P1,P2
7694,platform/integrations/susep/.tool-versions,P3,P2
7696,platform/integrations/susep/CODEOWNERS,P1,P2
7732,platform/integrations/swift/.tool-versions,P3,P2
7734,platform/integrations/swift/CODEOWNERS,P1,P2
7770,platform/kms-hsm/.tool-versions,P3,P2
7772,platform/kms-hsm/CODEOWNERS,P1,P2
7807,platform/kubernetes/.tool-versions,P2,P2
7809,platform/kubernetes/CODEOWNERS,P2,P2
7856,platform/object-storage/.tool-versions,P3,P2
7893,platform/observability/.tool-versions,P1,P2
7942,platform/secrets/.tool-versions,P3,P2
7944,platform/secrets/CODEOWNERS,P1,P2
7979,platform/security/appsec/.tool-versions,P0,P3
7981,platform/security/appsec/CODEOWNERS,P0,P3
8016,platform/security/cloud/.tool-versions,P0,P3
8018,platform/security/cloud/CODEOWNERS,P0,P3
