conflict_id,caminho,esperado,encontrado,match
1164,,279ba8fa36fcee3e54136d191c424d98b12d8b7193c8a096945f55270bd44118,279ba8fa36fcee3e54136d191c424d98b12d8b7193c8a096945f55270bd44118,SIM
1310,,9a2c27e06ad60c9bf22c0ce4771db331b67c66b28dd2d10b2de1b710f241ad47,9a2c27e06ad60c9bf22c0ce4771db331b67c66b28dd2d10b2de1b710f241ad47,SIM
1314,,b2a07d2cebdffcaffa14ea267b69717d31e453ea0f20e35ddee3111c9fb82e77,b2a07d2cebdffcaffa14ea267b69717d31e453ea0f20e35ddee3111c9fb82e77,SIM
1333,,eb4f38c3b8d10954af0ef61f1466faada38aa77062f4d7933e701318586a9f5f,eb4f38c3b8d10954af0ef61f1466faada38aa77062f4d7933e701318586a9f5f,SIM
1406,,6a0e4da801526f2ccf7f805528a43eb9724c073e55a4350aa42542266fec0dd9,6a0e4da801526f2ccf7f805528a43eb9724c073e55a4350aa42542266fec0dd9,SIM
1410,,f439407f4dcb4ddfb629e1e8f2b9b10ea94ab237ca76b807cec26b1aaa01b408,f439407f4dcb4ddfb629e1e8f2b9b10ea94ab237ca76b807cec26b1aaa01b408,SIM
1429,,e88d4acb73eea2762a9e29677237fb6b84da1d22f0b612e6554f4678f71c2745,e88d4acb73eea2762a9e29677237fb6b84da1d22f0b612e6554f4678f71c2745,SIM
1470,,52bd2b39e4b5d154f5d1aba8cd748c451699f0f98d47dbc8e272e2a0ace98c43,52bd2b39e4b5d154f5d1aba8cd748c451699f0f98d47dbc8e272e2a0ace98c43,SIM
1474,,ee5c045e1bf83ea9226211d491dd8aafd498adac1977dfa17d76479b8530f1dc,ee5c045e1bf83ea9226211d491dd8aafd498adac1977dfa17d76479b8530f1dc,SIM
1505,,49afc0a641d7fa7d893abe744bce49509eac40d98ac1c3deb3a036e87f533108,49afc0a641d7fa7d893abe744bce49509eac40d98ac1c3deb3a036e87f533108,SIM
1559,,2581cf97b11f7e61ae92698b29541134c27db4adf53586ba95a634964eae0b04,2581cf97b11f7e61ae92698b29541134c27db4adf53586ba95a634964eae0b04,SIM
